race_year_id,rank,runner,time,age,gender,nationality,time_in_seconds,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,age_group
39881,3.0,HAWKER Scott,21H 48M 4S,34,M,NZL,78484.0,UTMB®,UTMB®,Chamonix,France,2019-08-30,1900-01-01 18:00:00,solo,170.7,9930,-9930,16,2300,30-39
6558,5.0,GRINIUS Gediminas,21H 50M 4S,42,M,LTU,78604.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2014-08-29,1900-01-01 00:00:00,solo,167.7,9618,-9618,16,0,40-49
72496,5.0,GRANGIER Germain,21H 52M 47S,31,M,FRA,78767.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
3940,5.0,FOOTE Mike,21H 53M 19S,38,M,USA,78799.0,The North Face Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2013-08-30,1900-01-01,solo,167.7,9618,-9618,0,0,30-39
17383,11.0,HAWKER Scott,21H 55M 47S,34,M,NZL,78947.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,30-39
25073,3.0,GAMITO Jordi,21H 57M 1S,40,M,ESP,79021.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,30-39
8592,2.0,HERNANDO Luis Alberto,21H 57M 17S,44,M,ESP,79037.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2015-08-28,1900-01-01 00:00:00,solo,169.6,10060,-10060,16,0,40-49
8592,3.0,LANEY David,21H 59M 42S,33,M,USA,79182.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2015-08-28,1900-01-01 00:00:00,solo,169.6,10060,-10060,16,0,30-39
11263,1.0,POMMERET Ludovic,22H 0M 2S,46,M,FRA,79202.0,UTMB®,UTMB®,Chamonix,France,2016-08-26,1900-01-01 00:00:00,solo,171.0,10080,-10080,16,2300,40-49
8592,4.0,SWANSON Seth,22H 0M 10S,42,M,USA,79210.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2015-08-28,1900-01-01 00:00:00,solo,169.6,10060,-10060,16,0,40-49
17383,12.0,HALL Damian,22H 0M 32S,46,M,GBR,79232.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,40-49
39881,4.0,OWENS Tom,22H 4M 29S,40,M,GBR,79469.0,UTMB®,UTMB®,Chamonix,France,2019-08-30,1900-01-01 18:00:00,solo,170.7,9930,-9930,16,2300,30-39
25073,4.0,SCHJOLBERG Hallvard,22H 6M 59S,46,M,NOR,79619.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,40-49
3940,6.0,CHORIER Julien,22H 8M 11S,41,M,FRA,79691.0,The North Face Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2013-08-30,1900-01-01,solo,167.7,9618,-9618,0,0,40-49
17383,13.0,HERMANSEN Didrik,22H 12M 18S,41,M,NOR,79938.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,40-49
17383,14.0,LANEY David,22H 20M 22S,33,M,USA,80422.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,30-39
72496,6.0,Namberger Hannes,22H 22M 6S,32,M,GER,80526.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
11263,2.0,GRINIUS Gediminas,22H 26M 5S,42,M,LTU,80765.0,UTMB®,UTMB®,Chamonix,France,2016-08-26,1900-01-01 00:00:00,solo,171.0,10080,-10080,16,2300,40-49
8592,5.0,ANTOLINOS Fabien,22H 28M 26S,44,M,FRA,80906.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2015-08-28,1900-01-01 00:00:00,solo,169.6,10060,-10060,16,0,40-49
8592,5.0,ANTOLINOS Fabien,22H 28M 26S,44,M,FRA,80906.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2015-08-28,1900-01-01 00:00:00,solo,169.6,10060,-10060,16,0,40-49
17383,15.0,PASERO Mikael,22H 28M 34S,38,M,FRA,80914.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,30-39
11263,3.0,TOLLEFSON Tim,22H 30M 28S,36,M,USA,81028.0,UTMB®,UTMB®,Chamonix,France,2016-08-26,1900-01-01 00:00:00,solo,171.0,10080,-10080,16,2300,30-39
25073,5.0,HALL Damian,22H 35M 13S,46,M,GBR,81313.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,40-49
